SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2862,Bitcoin,BTC,2021-02-27,48253.27010115,45269.0257658,46344.77223734,46188.45127539,45910946381.8,860978135421.44
2861,Bitcoin,BTC,2021-02-26,48370.78525976,44454.84211387,47180.4640539,46339.76008289,350967941479.06,863752275053.08
2860,Bitcoin,BTC,2021-02-25,51948.96698227,47093.85301914,49709.08242476,47093.85301914,54506565949.11,877766126138.33
2859,Bitcoin,BTC,2021-02-24,51290.13669492,47213.49816173,48835.08766112,49705.33331637,63695521388.34,926393090750.51
2858,Bitcoin,BTC,2021-02-23,54204.92975578,45290.59026818,54204.92975578,48824.42686909,106102492824.11,909925854460.21
2857,Bitcoin,BTC,2021-02-22,57533.38932549,48967.56518819,57532.73886407,54207.31906543,92052420331.57,1010205212981.29
2856,Bitcoin,BTC,2021-02-21,58330.57214185,55672.60951328,56068.56824551,57539.9436679,51897585190.58,1072263294724.94
2855,Bitcoin,BTC,2021-02-20,57505.22818745,54626.5597762,55887.33571358,56099.52051348,68145460025.92,1045371087640.23
2854,Bitcoin,BTC,2021-02-19,56113.65054685,50937.27572157,51675.98128513,55888.13368221,63495496917.85,1041380696669.48
2853,Bitcoin,BTC,2021-02-18,52474.10724863,51015.76455379,52140.97271656,51679.79669449,52054723578.67,962915078024.48
2852,Bitcoin,BTC,2021-02-17,52533.91431173,49072.3771403,49207.27643233,52149.00753587,80820545404.32,971611626454.28
2851,Bitcoin,BTC,2021-02-16,50341.10325246,47201.30375472,47944.45800728,49199.87134362,77049582885.51,916623418253.64
2850,Bitcoin,BTC,2021-02-15,48875.57161074,46347.47709171,48696.53665993,47945.05683234,77069903166.39,893210080038.98
2849,Bitcoin,BTC,2021-02-14,49487.64087275,47114.50958649,47114.50958649,48717.2902111,71248675228.22,907551330153.22
2848,Bitcoin,BTC,2021-02-13,48047.74459107,46392.28233345,47491.20255503,47105.51747252,70250456155.05,877478894463.66
2847,Bitcoin,BTC,2021-02-12,48745.73380014,46424.97781781,47877.03437451,47504.85118326,76555041195.79,884874050611.84
2846,Bitcoin,BTC,2021-02-11,48463.46712511,44187.7623505,44898.71161149,47909.33119483,81388911809.85,892364856135.99
2845,Bitcoin,BTC,2021-02-10,47145.56819859,43881.1525986,46469.76120204,44918.18449192,87301089896.44,836616907526.53
2844,Bitcoin,BTC,2021-02-09,48003.72396182,45166.96004492,46184.99146609,46481.10423596,91809846885.69,865682956618.92
2843,Bitcoin,BTC,2021-02-08,46203.93143652,38076.32280719,38886.82728995,46196.46371944,101467222686.67,860342706259.7
