SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2631,Dogecoin,DOGE,2021-02-27,0.05191956,0.04929685,0.05049989,0.0500829,1286229525.84,6438192651.99
2630,Dogecoin,DOGE,2021-02-26,0.0524721,0.04870779,0.0501381,0.05047986,1694323465.91,6488523368.56
2629,Dogecoin,DOGE,2021-02-25,0.05780827,0.04986917,0.0566146,0.05016734,2356982021.71,6447664671.36
2628,Dogecoin,DOGE,2021-02-24,0.05987291,0.0462159,0.04741442,0.05655541,4148511571.38,7267918251.33
2627,Dogecoin,DOGE,2021-02-23,0.05376828,0.04241035,0.05369844,0.04739205,2394345360.88,6089686350.69
2626,Dogecoin,DOGE,2021-02-22,0.06046605,0.04709622,0.05604415,0.05372515,3366757324.18,6902725619.97
2625,Dogecoin,DOGE,2021-02-21,0.05842831,0.05355587,0.05436871,0.05597983,2450293068.34,7191635971.59
2624,Dogecoin,DOGE,2021-02-20,0.06028569,0.05162842,0.05513205,0.05438446,3175468554.07,6985943091.27
2623,Dogecoin,DOGE,2021-02-19,0.05949659,0.05431458,0.05943402,0.05513934,2949251417.7,7082160843.4
2622,Dogecoin,DOGE,2021-02-18,0.06179931,0.04898933,0.04936332,0.05954129,4551943638.05,7646763727.2
2621,Dogecoin,DOGE,2021-02-17,0.05498263,0.04803387,0.05352225,0.04937563,2976148722.54,6340534301.65
2620,Dogecoin,DOGE,2021-02-16,0.05966752,0.05098287,0.0564875,0.05352025,3409478695.84,6872026263.25
2619,Dogecoin,DOGE,2021-02-15,0.06392375,0.04854737,0.06256832,0.05659087,4944804937.93,7265519863.14
2618,Dogecoin,DOGE,2021-02-14,0.06644842,0.05672307,0.06644842,0.06253697,3984667628.47,8028048753.83
2617,Dogecoin,DOGE,2021-02-13,0.07164625,0.06613511,0.0700246,0.06644953,2618049766.47,8529400210.87
2616,Dogecoin,DOGE,2021-02-12,0.07261018,0.06144501,0.06965016,0.07006853,4190843783.52,8992978136.15
2615,Dogecoin,DOGE,2021-02-11,0.0743014,0.06829016,0.07284431,0.06967585,3818556738.8,8941609529.45
2614,Dogecoin,DOGE,2021-02-10,0.08109109,0.06852545,0.07011055,0.07289631,6785088422.26,9353895799.46
2613,Dogecoin,DOGE,2021-02-09,0.0831277,0.0656209,0.0787726,0.07006957,7348840814.22,8990202084.3
2612,Dogecoin,DOGE,2021-02-08,0.08494506,0.06470163,0.07835245,0.07882511,12844375209.99,10112456103.39
2611,Dogecoin,DOGE,2021-02-07,0.08435716,0.0542393,0.05750161,0.07878179,14261024073.31,10105792829.49
2610,Dogecoin,DOGE,2021-02-06,0.05830786,0.04490357,0.04693104,0.05759472,5946101274.57,7387203762.36
2609,Dogecoin,DOGE,2021-02-05,0.05373973,0.04353977,0.05304323,0.04693473,6136160057.73,6019284098.33
2608,Dogecoin,DOGE,2021-02-04,0.05786878,0.03594477,0.03722574,0.05328933,13040837600.68,6833498775.83
2607,Dogecoin,DOGE,2021-02-03,0.03910517,0.03114623,0.03149316,0.03712003,3146856788.26,4759532730.95
