SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2031,Ethereum,ETH,2021-02-27,1524.9324277,1433.78692864,1446.92945497,1459.97312093,20742103232.83,167675937684.41
2030,Ethereum,ETH,2021-02-26,1559.02889087,1407.97925331,1478.6532703,1446.0336503,31435997880.72,166055498546.28
2029,Ethereum,ETH,2021-02-25,1670.2240615,1465.05894621,1625.39388181,1475.70373513,24481681872.94,169442679395.07
2028,Ethereum,ETH,2021-02-24,1710.98379492,1511.01896331,1571.47649661,1626.57570543,31329000537.33,186743952485.76
2027,Ethereum,ETH,2021-02-23,1781.40901762,1378.84090738,1781.40901762,1570.20392529,52029864712.8,180251030148.47
2026,Ethereum,ETH,2021-02-22,1936.45378227,1580.62655281,1935.55785359,1781.99297558,42409646035.86,204538978050.14
2025,Ethereum,ETH,2021-02-21,1974.25958766,1890.368116,1918.67314966,1935.60106022,23626547717.45,222144116573.88
2024,Ethereum,ETH,2021-02-20,2036.28649332,1830.53153486,1959.90297711,1919.5340028,34696091102.23,220274162486.18
2023,Ethereum,ETH,2021-02-19,1969.54705461,1896.68450767,1938.85988089,1960.16474353,26268814252.82,224910293533.88
2022,Ethereum,ETH,2021-02-18,1949.90339186,1848.20628229,1848.20628229,1937.44925643,28255902968.57,222277377811.22
2021,Ethereum,ETH,2021-02-17,1853.66754295,1736.70582293,1781.35009235,1848.4582725,35955412703.36,212042961268.08
2020,Ethereum,ETH,2021-02-16,1824.51863807,1729.6419259,1778.94560552,1781.06747722,34269369268.19,204288110917.07
2019,Ethereum,ETH,2021-02-15,1833.83057195,1683.90665476,1804.67678046,1779.79097807,38955610883.41,204117703893.71
2018,Ethereum,ETH,2021-02-14,1848.15405872,1789.91420653,1814.37231313,1805.08404652,31439114899.57,206994111569.56
2017,Ethereum,ETH,2021-02-13,1871.60354682,1770.61208607,1843.98675965,1814.10985253,35359490534.52,208004282357.62
2016,Ethereum,ETH,2021-02-12,1861.35691381,1744.16899818,1783.48917053,1843.53258814,37905036865.18,211353402277.61
2015,Ethereum,ETH,2021-02-11,1806.53903005,1708.67926011,1743.71418745,1783.79795026,36021495261.76,204480686290.95
2014,Ethereum,ETH,2021-02-10,1826.69672307,1686.54241781,1768.03974775,1744.24343196,41916084617.36,199922942887.56
2013,Ethereum,ETH,2021-02-09,1815.96356989,1711.62055635,1746.92613167,1768.03501655,44180727528.56,202625894958.75
2012,Ethereum,ETH,2021-02-08,1770.59078017,1571.57989969,1613.64226828,1746.61684904,48012285955.92,200147673570.58
2011,Ethereum,ETH,2021-02-07,1690.03665184,1501.75027529,1677.60566475,1614.22782334,39889440150.91,184955254624.65
2010,Ethereum,ETH,2021-02-06,1738.31443822,1649.06872914,1717.79754616,1677.84684697,39873420647.74,192221649234.01
2009,Ethereum,ETH,2021-02-05,1756.51103181,1594.79333006,1594.79333006,1718.65087218,40108628453.57,196873128686.52
2008,Ethereum,ETH,2021-02-04,1689.18668328,1561.85349322,1661.17021172,1594.76269414,44396871835.92,182660183410.38
2007,Ethereum,ETH,2021-02-03,1660.909542,1510.01027358,1514.76962317,1660.909542,41874566399.41,190213812447.49
2006,Ethereum,ETH,2021-02-02,1542.99094561,1362.7712342,1369.50509478,1515.19376962,45437142800.95,173505318778.83
