SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1355,IOTA,MIOTA,2021-02-27,1.23417494,1.11624721,1.11624721,1.15116606,126697613.78,3199700912.81
1354,IOTA,MIOTA,2021-02-26,1.17563837,1.02332087,1.09956286,1.11611424,132629066.37,3102273332.63
1353,IOTA,MIOTA,2021-02-25,1.24529029,1.09184718,1.19389449,1.09184718,152468930.97,3034822295.4
1352,IOTA,MIOTA,2021-02-24,1.31023826,1.03231007,1.09063577,1.19475066,279468196.26,3320845647.79
1351,IOTA,MIOTA,2021-02-23,1.31369137,0.89353965,1.3065056,1.08849648,341557648.11,3025508930.14
1350,IOTA,MIOTA,2021-02-22,1.40818115,1.0201755,1.40439382,1.30799108,317231033.82,3635600816.14
1349,IOTA,MIOTA,2021-02-21,1.45738397,1.33536548,1.37735813,1.40225317,156950114.16,3897605146.13
1348,IOTA,MIOTA,2021-02-20,1.54864562,1.31212417,1.48550646,1.38317335,255013927.79,3844572224.78
1347,IOTA,MIOTA,2021-02-19,1.57562897,1.4129134,1.49214211,1.48626278,342322930.4,4131112411.19
1346,IOTA,MIOTA,2021-02-18,1.56462851,1.27907212,1.29737856,1.47607107,408335245.26,4102784225.04
1345,IOTA,MIOTA,2021-02-17,1.33421008,1.18617949,1.25748567,1.29843875,235064889.02,3609049833.08
1344,IOTA,MIOTA,2021-02-16,1.3833879,1.2192658,1.26810285,1.25708085,333511576.72,3494094294.86
1343,IOTA,MIOTA,2021-02-15,1.38022424,0.97452685,1.18592955,1.27245858,496828062.49,3536837164.99
1342,IOTA,MIOTA,2021-02-14,1.31835417,1.14076132,1.30768512,1.18875916,247297193.93,3304192078.88
1341,IOTA,MIOTA,2021-02-13,1.4056078,1.19785082,1.23518591,1.3091046,354775522.71,3638695876.01
1340,IOTA,MIOTA,2021-02-12,1.27723669,1.09055046,1.1725348,1.23554333,376795724.37,3434230112.48
1339,IOTA,MIOTA,2021-02-11,1.31384494,0.86645391,0.88370467,1.1815198,934230158.8,3284070069.95
1338,IOTA,MIOTA,2021-02-10,0.91843764,0.71879854,0.74909815,0.88655022,274655754.21,2464193189.94
1337,IOTA,MIOTA,2021-02-09,0.80575787,0.7089325,0.71721127,0.74904405,241232229.89,2081990633.25
1336,IOTA,MIOTA,2021-02-08,0.73938401,0.54468311,0.55785479,0.71738633,202840399.45,1993997037.08
1335,IOTA,MIOTA,2021-02-07,0.59417106,0.52989319,0.56090429,0.55825925,99620628.09,1551698491.07
1334,IOTA,MIOTA,2021-02-06,0.61344712,0.49776596,0.51403948,0.55955741,205129351.18,1555306764.4
1333,IOTA,MIOTA,2021-02-05,0.53653231,0.43919566,0.43919566,0.51464433,147996597.68,1430469498.47
1332,IOTA,MIOTA,2021-02-04,0.45265902,0.42048458,0.4507293,0.43921171,53602577.47,1220802237.25
1331,IOTA,MIOTA,2021-02-03,0.45409936,0.42651177,0.42822193,0.45092128,48070062.52,1253349353.54
1330,IOTA,MIOTA,2021-02-02,0.43158913,0.40904319,0.41422045,0.42821866,41494305.11,1190246727.13
1329,IOTA,MIOTA,2021-02-01,0.42562749,0.39466759,0.40741966,0.41369056,46488076.58,1149865433.53
1328,IOTA,MIOTA,2021-01-31,0.43824473,0.39519792,0.42757533,0.40709336,43518572.03,1131528330.75
1327,IOTA,MIOTA,2021-01-30,0.44152639,0.3998889,0.41187699,0.42722185,51518411.73,1187476067.42
1326,IOTA,MIOTA,2021-01-29,0.42450354,0.39489183,0.41036735,0.41178293,56485963.4,1144563128.67
1325,IOTA,MIOTA,2021-01-28,0.41475084,0.389444,0.39288087,0.40587155,35353824.61,1128132265.63
1324,IOTA,MIOTA,2021-01-27,0.43239091,0.3790905,0.43239091,0.39306741,39597306.91708636,1092542757.5465147
1323,IOTA,MIOTA,2021-01-26,0.43865677,0.41300756,0.43174425,0.43307785,37134884.15701001,1203752986.828375
1322,IOTA,MIOTA,2021-01-25,0.46980942,0.42921625,0.4555459,0.43203552,45520330.16901297,1200855810.2166889
1321,IOTA,MIOTA,2021-01-24,0.47966616,0.44381205,0.44972691,0.45566551,41530394.71136956,1266536082.2928915
1320,IOTA,MIOTA,2021-01-23,0.47495881,0.44416607,0.45596048,0.44956387,40985252.89879564,1249576383.7584803
1319,IOTA,MIOTA,2021-01-22,0.47178761,0.39258704,0.42152863,0.45606244,58496921.44211391,1267639359.8239748
1318,IOTA,MIOTA,2021-01-21,0.49448527,0.41839259,0.47026155,0.42150845,86327768.62389584,1171595496.5464957
1317,IOTA,MIOTA,2021-01-20,0.48380681,0.43085611,0.46905601,0.46924091,51586970.26201545,1304269309.3326783
1316,IOTA,MIOTA,2021-01-19,0.50415172,0.46209438,0.47644161,0.46965724,64935905.65932634,1305426529.735741
1315,IOTA,MIOTA,2021-01-18,0.48590068,0.41784861,0.43559541,0.47585838,78156653.09599032,1322662773.83946
1314,IOTA,MIOTA,2021-01-17,0.44465135,0.40010143,0.42505559,0.43499446,45209516.36060105,1209080276.5591092
1313,IOTA,MIOTA,2021-01-16,0.45320413,0.41596236,0.43115057,0.42604128,55033051.1136579,1184194646.775154
1312,IOTA,MIOTA,2021-01-15,0.45237835,0.38647056,0.42355434,0.43032,68908954.75125107,1196087457.7040205
1311,IOTA,MIOTA,2021-01-14,0.44896953,0.40224519,0.41461542,0.42300337,48666768.12056311,1175750680.2979448
1310,IOTA,MIOTA,2021-01-13,0.41648321,0.34733098,0.35914126,0.41508947,52741201.09842069,1153753739.439266
1309,IOTA,MIOTA,2021-01-12,0.38402005,0.34834241,0.36868549,0.35972354,40350215.36509652,999862459.9021038
1308,IOTA,MIOTA,2021-01-11,0.42755697,0.32908129,0.42722867,0.3688811,68731536.19177847,1025316188.2608691
1307,IOTA,MIOTA,2021-01-10,0.47409161,0.38626847,0.43647677,0.42760951,89703670.27338295,1188553571.21622
1306,IOTA,MIOTA,2021-01-09,0.47443363,0.36964548,0.36964548,0.43632135,168732250.61746126,1212768392.696043
1305,IOTA,MIOTA,2021-01-08,0.38507078,0.34638328,0.38375483,0.36936985,42792494.07318569,1026674684.4323502
1304,IOTA,MIOTA,2021-01-07,0.40451948,0.35981012,0.38175115,0.38376473,67880369.77638903,1066685684.9619803
1303,IOTA,MIOTA,2021-01-06,0.39860425,0.34365658,0.3538095,0.38046037,79394660.0173639,1057501110.8845916
1302,IOTA,MIOTA,2021-01-05,0.38460323,0.31760857,0.34412393,0.35311743,88086746.51379211,981500603.598396
1301,IOTA,MIOTA,2021-01-04,0.35110945,0.28019318,0.30968298,0.34471737,60563730.1833405,958152369.7698843
1300,IOTA,MIOTA,2021-01-03,0.31373473,0.27826131,0.28645046,0.30948928,36641055.9428871,860234815.5200769
1299,IOTA,MIOTA,2021-01-02,0.2971273,0.27882239,0.29121905,0.28621961,25174949.15857679,795556069.6223966
1298,IOTA,MIOTA,2021-01-01,0.30310052,0.29056536,0.29689325,0.2913477,15791601.46322931,809809747.6918263
1297,IOTA,MIOTA,2020-12-31,0.30145964,0.28305261,0.29524894,0.29689304,26769897.52137386,825223190.2456781
1296,IOTA,MIOTA,2020-12-30,0.30605219,0.28872991,0.30200527,0.29549851,15285444.02084098,821347048.513837
