SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2862,Litecoin,LTC,2021-02-27,179.92987158,167.90878908,170.43142308,172.10044726,4991079436.63,11454859535.98
2861,Litecoin,LTC,2021-02-26,182.07584389,163.24824835,179.12851877,170.39815323,7875998385.95,11340299605.65
2860,Litecoin,LTC,2021-02-25,204.74384168,176.03214532,181.38542235,178.90184288,7327999233.19,11904886775.8
2859,Litecoin,LTC,2021-02-24,189.16545931,169.78900887,176.96676884,181.37850129,7205360251.75,12070508501.05
2858,Litecoin,LTC,2021-02-23,208.36966972,159.68467323,208.12340694,176.93491521,10944696471.9,11773563802.91
2857,Litecoin,LTC,2021-02-22,227.2348039,182.52764395,227.22382342,208.10679546,9523044214.73,13846295160.27
2856,Litecoin,LTC,2021-02-21,233.14799259,220.98374746,227.51961895,227.23135545,6934669818.28,15117128942.29
2855,Litecoin,LTC,2021-02-20,245.95752689,216.64165633,236.65491307,227.61989221,8208699024.51,15143671929.97
2854,Litecoin,LTC,2021-02-19,241.16129144,220.95677653,226.89929294,236.67601167,7151082977.67,15744553203.77
2853,Litecoin,LTC,2021-02-18,238.19660684,221.5928946,236.94925508,226.86954839,7889078633.18,15090475729.16
2852,Litecoin,LTC,2021-02-17,236.97352307,204.24292916,210.56902482,236.97352307,13792789978.03,15760825693.02
2851,Litecoin,LTC,2021-02-16,221.05158847,201.29598743,207.61043662,210.5465771,12666436004.37,14001682545.37
2850,Litecoin,LTC,2021-02-15,219.63850531,192.12123961,214.32499004,207.68101945,13482646965.54,13809636076.61
2849,Litecoin,LTC,2021-02-14,229.2051519,210.10167637,226.28587053,214.430273,12902511398.51,14256947120.62
2848,Litecoin,LTC,2021-02-13,228.38445294,192.91963978,197.23432551,226.22760116,16565513036.4,15039659992.97
2847,Litecoin,LTC,2021-02-12,199.41686566,178.12335524,184.3871481,197.23171013,10839370442.96,13110544888.29
2846,Litecoin,LTC,2021-02-11,192.50487575,176.55453557,182.06273719,184.49599958,9278994120.72,12262582771.77
2845,Litecoin,LTC,2021-02-10,194.18298892,172.25544802,181.9874533,182.1743915,12820808288.59,12107028489.44
2844,Litecoin,LTC,2021-02-09,183.64448377,164.68781818,167.21399192,182.1144683,10156352233.05,12101771284.95
2843,Litecoin,LTC,2021-02-08,168.26593841,148.12272508,151.1075191,167.21905755,8863883925.54,11110735148.59
2842,Litecoin,LTC,2021-02-07,157.12864298,145.66253495,155.66953398,151.14007922,6884924122.5,10041267657.74
2841,Litecoin,LTC,2021-02-06,163.43093984,150.51277424,154.85407922,155.71474239,8323878876.17,10344025913.66
2840,Litecoin,LTC,2021-02-05,156.53530341,144.31818175,145.15064052,154.85221567,7359451679.74,10285648748.08
2839,Litecoin,LTC,2021-02-04,158.08877892,142.41408758,155.65647749,145.14818702,7811659279.62,9640051951.81
2838,Litecoin,LTC,2021-02-03,155.89230481,142.16775169,142.47672784,155.61203291,8586975076.37,10334816209.7
2837,Litecoin,LTC,2021-02-02,145.53291054,131.95291477,131.95291477,142.50697498,7552216052.33,9463573244.0
2836,Litecoin,LTC,2021-02-01,136.13021776,126.35045078,129.57459556,131.95193202,5607159827.99,8761704258.91
2835,Litecoin,LTC,2021-01-31,134.70370149,126.25299168,133.41803354,129.5708153,4539387378.35,8602571147.43
2834,Litecoin,LTC,2021-01-30,135.90340191,128.91656559,134.99925649,133.40001778,6332391807.09,8855782168.42
2833,Litecoin,LTC,2021-01-29,144.95843537,132.16176323,138.21851627,135.01257048,8878892081.98,8961864718.01
2832,Litecoin,LTC,2021-01-28,135.79154223,121.53635482,122.94125225,133.48693077,5828235786.19,8859696433.58
2831,Litecoin,LTC,2021-01-27,134.86264312,118.78751243,134.75145319,122.94947331,6281091791.743559,8159485218.763391
2830,Litecoin,LTC,2021-01-26,139.5409646,128.86641189,137.43291758,134.75526433,5897389103.375538,8942724602.760847
2829,Litecoin,LTC,2021-01-25,147.15027978,137.00993743,141.43827545,137.44420046,6344860290.458461,9120218856.201033
2828,Litecoin,LTC,2021-01-24,142.65240177,134.47839626,137.73870229,141.47731078,4972171240.3747225,9387244667.665434
2827,Litecoin,LTC,2021-01-23,142.33926704,135.11137757,137.19769689,137.75099018,5380627901.485251,9138967678.601336
2826,Litecoin,LTC,2021-01-22,141.01550738,123.64692639,130.07383659,137.27145938,8550579025.232139,9106163561.159369
2825,Litecoin,LTC,2021-01-21,149.94409338,126.23420222,149.94409338,130.13350488,8703006148.310465,8631731440.958136
2824,Litecoin,LTC,2021-01-20,156.13849523,139.0926983,153.35609389,149.93142516,9002037329.597635,9943883701.524994
2823,Litecoin,LTC,2021-01-19,165.92430334,150.48788433,152.1975503,153.48742764,9314780274.81002,10178638261.656715
2822,Litecoin,LTC,2021-01-18,154.52570111,138.8114376,142.43465387,152.14408514,6640211537.689394,10088494154.910168
2821,Litecoin,LTC,2021-01-17,146.82422678,137.06950224,144.22483575,142.43082129,6098835632.654591,9443391846.204666
2820,Litecoin,LTC,2021-01-16,152.06082757,140.0020146,144.18818214,144.26541965,7183807955.380072,9563943062.62487
2819,Litecoin,LTC,2021-01-15,155.11723063,132.19332807,152.11152757,144.23754971,8416625031.367801,9561058743.084578
2818,Litecoin,LTC,2021-01-14,156.56693072,144.18278935,147.37973893,152.08457372,8271411809.602127,10080148976.82216
2817,Litecoin,LTC,2021-01-13,147.87789882,126.86204917,132.65894013,147.42134739,8421748673.281516,9766018250.944744
2816,Litecoin,LTC,2021-01-12,146.71639143,128.92659076,139.07997911,132.63591652,11898878221.661873,8786548247.325891
2815,Litecoin,LTC,2021-01-11,171.09483683,114.95646036,171.09483683,139.25223125,17994263494.320496,9224850104.681038
2814,Litecoin,LTC,2021-01-10,185.78035009,163.78479688,177.47718757,171.11484357,12774461582.482088,11335608545.879463
2813,Litecoin,LTC,2021-01-09,179.09007582,164.15248812,173.25375311,177.4839356,11136779198.255386,11757532983.450504
2812,Litecoin,LTC,2021-01-08,181.76662783,151.65024691,169.64152045,173.27987445,14705614969.273794,11479032354.226656
2811,Litecoin,LTC,2021-01-07,180.87338378,162.80655615,169.06821554,169.61595798,13099581396.103722,11236313943.691671
2810,Litecoin,LTC,2021-01-06,169.65745305,155.45286853,158.6659751,169.01692345,10743884477.18438,11196630531.446745
2809,Litecoin,LTC,2021-01-05,162.85018341,147.4000648,154.89755451,158.59477629,10192818975.804243,10506208952.990088
2808,Litecoin,LTC,2021-01-04,173.02782158,143.62395457,160.27116955,154.80732008,13659785704.43594,10254764750.433165
2807,Litecoin,LTC,2021-01-03,163.89864164,135.73991123,136.94940459,160.19058561,15385661270.66556,10610100156.80642
2806,Litecoin,LTC,2021-01-02,140.37257864,123.69362144,126.2729683,136.94489094,10532067985.16846,9069424356.167995
2805,Litecoin,LTC,2021-01-01,133.18576159,123.3280824,124.67276875,126.23034575,7326980727.501806,8358909485.907864
2804,Litecoin,LTC,2020-12-31,130.16624481,123.03648273,129.48028308,124.69032593,6274573135.091262,8256035500.725853
2803,Litecoin,LTC,2020-12-30,132.4501249,123.44434197,129.06185334,129.46607253,8127317344.906678,8571310123.738354
2802,Litecoin,LTC,2020-12-29,130.6085756,121.18720272,130.03325988,129.04079724,9160551332.085058,8542261137.109545
2801,Litecoin,LTC,2020-12-28,136.18507707,127.07134023,127.58830461,130.05033199,10248729546.812918,8608138657.318287
2800,Litecoin,LTC,2020-12-27,138.31971891,123.09740567,129.45661976,127.51696969,14103307412.12148,8439551136.234927
2799,Litecoin,LTC,2020-12-26,134.73513698,125.13355827,127.07919192,129.45920297,12680207148.444298,8567168164.995213
2798,Litecoin,LTC,2020-12-25,128.02589315,108.58560584,111.51172727,126.98359867,11678543063.11485,8402415630.927022
2797,Litecoin,LTC,2020-12-24,111.93287027,99.60632996,101.89503837,111.56539901,10108653753.092045,7381279578.637178
2796,Litecoin,LTC,2020-12-23,116.88765722,96.26966248,113.67897291,101.81706223,12287537836.434605,6735539589.926983
2795,Litecoin,LTC,2020-12-22,114.02956909,98.86866881,104.95057713,113.6803674,11221164987.210323,7519474399.461905
2794,Litecoin,LTC,2020-12-21,118.01512955,101.59909106,114.66831188,105.00539486,9903839432.84216,6944917514.764636
2793,Litecoin,LTC,2020-12-20,122.73542241,110.77295938,120.49281413,114.66599272,8652067110.29945,7583089812.363719
2792,Litecoin,LTC,2020-12-19,123.75543381,105.68601368,109.36553247,120.5589091,9859343632.431286,7971885334.896606
2791,Litecoin,LTC,2020-12-18,112.25075821,99.55088741,100.9890498,109.3845096,10096427748.890268,7232216464.2284
2790,Litecoin,LTC,2020-12-17,109.23464096,91.14077631,92.79939593,100.95957532,11165000706.036356,6674511819.257898
2789,Litecoin,LTC,2020-12-16,92.84606924,79.03235666,81.41154523,92.78968506,6152647269.902346,6133693800.38276
2788,Litecoin,LTC,2020-12-15,84.70834179,80.69971919,82.3643764,81.40067395,3727495995.808385,5380245586.557718
2787,Litecoin,LTC,2020-12-14,82.87446019,79.42679414,82.02944863,82.36316054,3459910049.233623,5443275105.024973
2786,Litecoin,LTC,2020-12-13,83.88901833,75.65929903,76.71316723,82.00063841,3845040542.8117576,5418690204.454722
2785,Litecoin,LTC,2020-12-12,77.51998519,72.07871024,72.07871024,76.70689387,2966684035.283093,5068283240.049376
2784,Litecoin,LTC,2020-12-11,74.85487636,70.23130499,74.82575097,72.08733437,3761860017.26427,4762563166.389913
2783,Litecoin,LTC,2020-12-10,77.57532754,73.4713269,77.41220839,74.82955647,3007098971.4569097,4943203900.118415
2782,Litecoin,LTC,2020-12-09,78.09993744,72.61897806,76.73840362,77.41098045,4239672634.344391,5113163503.180934
2781,Litecoin,LTC,2020-12-08,84.71400356,75.9764991,83.61647292,76.7486542,4230876095.352468,5068820612.271369
2780,Litecoin,LTC,2020-12-07,86.72644815,81.93323044,83.54549582,83.62405876,4312326195.624626,5522332007.81458
2779,Litecoin,LTC,2020-12-06,85.03716643,80.6024347,83.11591333,83.55533607,3454805956.9420943,5517178550.559272
2778,Litecoin,LTC,2020-12-05,84.16855514,79.15448736,80.00739522,83.11872986,4517680975.427282,5487737378.020776
2777,Litecoin,LTC,2020-12-04,89.6021062,78.76920628,89.10392619,80.01707227,5444117736.021349,5282368906.171596
2776,Litecoin,LTC,2020-12-03,91.12335393,85.80731641,88.87646389,89.09896529,6014261403.545915,5881242129.662903
2775,Litecoin,LTC,2020-12-02,90.10536306,83.39522178,85.43755926,88.85651249,7713268209.602632,5864578837.466862
2774,Litecoin,LTC,2020-12-01,92.27678029,81.31421095,87.57659687,85.43576677,9818290618.393703,5638149877.796392
