SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1263,TRON,TRX,2021-02-27,0.04826723,0.04519613,0.04519613,0.04660641,1364941496.56,3339799444.88
1262,TRON,TRX,2021-02-26,0.04679123,0.0426149,0.04525828,0.04517348,1888660788.49,3237115914.51
1261,TRON,TRX,2021-02-25,0.04990805,0.04520075,0.04801775,0.04520516,1421732749.84,3239385951.92
1260,TRON,TRX,2021-02-24,0.04973709,0.04343999,0.04481656,0.04802804,2381928514.65,3441672669.93
1259,TRON,TRX,2021-02-23,0.05439907,0.03877621,0.05436437,0.04478956,3354811856.28,3209604766.93
1258,TRON,TRX,2021-02-22,0.05947825,0.04854567,0.0594593,0.05437612,2903206916.21,3896573997.46
1257,TRON,TRX,2021-02-21,0.06113328,0.05664642,0.05799406,0.05946833,2152212760.94,4261480373.31
1256,TRON,TRX,2021-02-20,0.06347388,0.05577769,0.06097759,0.05804073,3088402641.85,4159178480.32
1255,TRON,TRX,2021-02-19,0.06385036,0.05422741,0.05499377,0.06102993,3547291764.82,4373383625.67
1254,TRON,TRX,2021-02-18,0.05552467,0.05233049,0.05259433,0.05498865,1707823235.91,3940467492.92
1253,TRON,TRX,2021-02-17,0.05372638,0.04914707,0.05219169,0.0526035,2330164000.25,3769548689.34
1252,TRON,TRX,2021-02-16,0.05501138,0.04958511,0.05070184,0.05217425,2771063532.07,3738789071.56
1251,TRON,TRX,2021-02-15,0.05607077,0.04675626,0.05550405,0.05074605,3539421366.25,3636444506.56
1250,TRON,TRX,2021-02-14,0.05992087,0.05253268,0.05961624,0.05554395,3066907831.27,3980260179.2
1249,TRON,TRX,2021-02-13,0.06071932,0.05190342,0.05531553,0.05961609,3469891543.15,4272068251.4
1248,TRON,TRX,2021-02-12,0.05745733,0.05213456,0.05702601,0.05532194,3474527931.1,3964351358.04
1247,TRON,TRX,2021-02-11,0.0586116,0.04477848,0.04616993,0.05706401,3849219974.2,4089187648.23
1246,TRON,TRX,2021-02-10,0.04932178,0.04185437,0.04598947,0.04618917,2971214151.2,3309899903.66
1245,TRON,TRX,2021-02-09,0.04955685,0.04039655,0.04052898,0.04603427,4192383244.27,3298800073.87
1244,TRON,TRX,2021-02-08,0.04166696,0.035317,0.03595833,0.04054574,2844000479.71,2905493836.75
1243,TRON,TRX,2021-02-07,0.03715202,0.03416646,0.03510528,0.0359719,1871100821.05,2577733792.61
1242,TRON,TRX,2021-02-06,0.03626315,0.03369424,0.03624381,0.03510628,1882492650.42,2515703909.88
1241,TRON,TRX,2021-02-05,0.03641616,0.0331074,0.03316762,0.03625571,1696796527.2,2598071432.53
1240,TRON,TRX,2021-02-04,0.03459389,0.03234828,0.03443985,0.03317362,1585497411.34,2377210083.8
1239,TRON,TRX,2021-02-03,0.03511824,0.03315728,0.03315728,0.03443866,1315556226.77,2467862482.68
1238,TRON,TRX,2021-02-02,0.03343117,0.03235497,0.03292984,0.03315322,1453404853.98,2375748449.32
1237,TRON,TRX,2021-02-01,0.03468749,0.03127384,0.03159271,0.03292715,1907823432.27,2359548093.57
1236,TRON,TRX,2021-01-31,0.03453123,0.03103093,0.03203569,0.03160317,1825939147.55,2264672300.14
1235,TRON,TRX,2021-01-30,0.03345029,0.03078599,0.03331499,0.03202773,1966189340.34,2295095886.43
1234,TRON,TRX,2021-01-29,0.04285197,0.02938003,0.03002902,0.03329551,4817781094.46,2385945131.96
1233,TRON,TRX,2021-01-28,0.02994689,0.02806196,0.02832166,0.02964784,765734318.66,2124553837.63
1232,TRON,TRX,2021-01-27,0.02951728,0.02760914,0.02951198,0.02832495,1150116666.6892855,2029755866.7595887
1231,TRON,TRX,2021-01-26,0.02993992,0.02861071,0.02955053,0.02951282,899192284.7631389,2114878401.4464407
1230,TRON,TRX,2021-01-25,0.03240224,0.02953601,0.03001595,0.02955827,1443220944.101627,2118135293.6129916
1229,TRON,TRX,2021-01-24,0.03063691,0.02904151,0.0291939,0.03002034,1013208322.2494684,2151247381.7205505
1228,TRON,TRX,2021-01-23,0.02943759,0.02816086,0.02862289,0.02918687,911280721.4649006,2091520853.052532
1227,TRON,TRX,2021-01-22,0.02894372,0.02643636,0.02769424,0.02863758,1501863627.4320097,2052159372.2384453
1226,TRON,TRX,2021-01-21,0.03053092,0.02770436,0.03051063,0.02770436,1322491373.237418,1985284919.82834
1225,TRON,TRX,2021-01-20,0.03113716,0.02924435,0.0307712,0.03050712,1172430541.854798,2186130026.0231504
1224,TRON,TRX,2021-01-19,0.0321963,0.03075413,0.03161975,0.0307922,1107368898.6103249,2206558677.282031
1223,TRON,TRX,2021-01-18,0.03214085,0.02974534,0.03014994,0.03161753,1114043434.7257671,2265701654.588759
1222,TRON,TRX,2021-01-17,0.03058307,0.02925707,0.03014413,0.03014067,1011001495.7062926,2159870004.6008887
1221,TRON,TRX,2021-01-16,0.03104615,0.02952817,0.02978166,0.03015329,1279285483.23331,2160774139.3492785
1220,TRON,TRX,2021-01-15,0.03127743,0.02861821,0.03002896,0.0297898,1414993857.1146295,2134727143.1867085
