SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2398,Stellar,XLM,2021-02-27,0.47094168,0.40102002,0.40102002,0.441458,2799346117.7,9943037946.13
2397,Stellar,XLM,2021-02-26,0.4010983,0.3578371,0.38220536,0.40067764,1387062138.23,9024534780.94
2396,Stellar,XLM,2021-02-25,0.42578577,0.38126871,0.40708386,0.38126871,1320643982.12,8577766461.48
2395,Stellar,XLM,2021-02-24,0.43282353,0.37040339,0.38679528,0.40723952,1862049592.1,9162056611.68
2394,Stellar,XLM,2021-02-23,0.466542,0.32204892,0.466542,0.38652963,2962479689.47,8689168941.17
2393,Stellar,XLM,2021-02-22,0.52304309,0.39972297,0.49862601,0.46695725,2952779388.51,10497178439.42
2392,Stellar,XLM,2021-02-21,0.50841945,0.47834654,0.4873699,0.49876793,1691495132.56,11203802237.17
2391,Stellar,XLM,2021-02-20,0.53208217,0.46773465,0.51354409,0.48800631,2152043634.71,10962064695.84
2390,Stellar,XLM,2021-02-19,0.52129951,0.48638704,0.49759744,0.51360199,1683567104.08,11537019583.75
2389,Stellar,XLM,2021-02-18,0.51546667,0.48629189,0.49683124,0.49750761,1663443587.1,11170637269.8
2388,Stellar,XLM,2021-02-17,0.50795469,0.45922494,0.48652687,0.49700193,1859433187.95,11149343207.03
2387,Stellar,XLM,2021-02-16,0.51388913,0.47262491,0.49344519,0.48661002,2101777438.57,10913786309.07
2386,Stellar,XLM,2021-02-15,0.53708857,0.43680493,0.51641575,0.49376194,3202896143.44,11058832287.58
2385,Stellar,XLM,2021-02-14,0.57409382,0.49873002,0.56092131,0.5176439,3078578193.15,11593719034.93
2384,Stellar,XLM,2021-02-13,0.6008249,0.5151708,0.52685391,0.5599478,5519338626.4,12541203762.19
2383,Stellar,XLM,2021-02-12,0.53094915,0.44078209,0.45289959,0.52784279,3705074297.4,11822145263.53
2382,Stellar,XLM,2021-02-11,0.46421255,0.41179065,0.41179065,0.45291178,3244799993.39,10130547529.45
2381,Stellar,XLM,2021-02-10,0.43856021,0.38383514,0.39662282,0.41241884,3501396593.97,9222071530.38
2380,Stellar,XLM,2021-02-09,0.40081611,0.38360073,0.39526267,0.39673711,1818075316.94,8871810121.18
2379,Stellar,XLM,2021-02-08,0.39886927,0.37293074,0.38333844,0.39560616,2542466582.36,8840584789.94
2378,Stellar,XLM,2021-02-07,0.41651677,0.36536488,0.37604629,0.38347284,5026694577.75,8561005916.78
2377,Stellar,XLM,2021-02-06,0.39180236,0.33632635,0.34928578,0.37629988,2538410913.67,8400870220.84
2376,Stellar,XLM,2021-02-05,0.35734847,0.32506299,0.32513859,0.34960665,2146857566.68,7804945511.88
2375,Stellar,XLM,2021-02-04,0.34524891,0.31389658,0.342194,0.32522932,1554404274.76,7251779648.38
2374,Stellar,XLM,2021-02-03,0.34498956,0.32876682,0.33689876,0.34215116,1486186862.72,7626334312.37
2373,Stellar,XLM,2021-02-02,0.34609679,0.31704253,0.32184348,0.33662008,2229603871.12,7498842216.53
2372,Stellar,XLM,2021-02-01,0.35945037,0.29517804,0.30574921,0.32183469,3711837884.54,7167741271.19
2371,Stellar,XLM,2021-01-31,0.33686734,0.2971561,0.32499285,0.30570228,2305438899.34,6802946003.14
2370,Stellar,XLM,2021-01-30,0.35356037,0.28014567,0.29414443,0.32486617,3891286886.65,7229409865.2
2369,Stellar,XLM,2021-01-29,0.36674475,0.28788321,0.30442472,0.29467435,5357767875.66,6557536274.52
2368,Stellar,XLM,2021-01-28,0.30129508,0.23380298,0.23892081,0.29224121,1470789190.47,6457245203.7
2367,Stellar,XLM,2021-01-27,0.26192088,0.23178685,0.26159999,0.23907035,669146235.598432,5282403136.351787
2366,Stellar,XLM,2021-01-26,0.26486525,0.25041951,0.26200617,0.26156682,670565995.386406,5779476199.089676
2365,Stellar,XLM,2021-01-25,0.27646342,0.2613769,0.27147258,0.26217866,713468708.5027177,5792995006.46045
2364,Stellar,XLM,2021-01-24,0.28191187,0.26389526,0.26968414,0.27155645,806028759.3386741,6000202935.164478
2363,Stellar,XLM,2021-01-23,0.27792688,0.26448204,0.26993386,0.26975519,875595181.3180708,5960403156.699909
2362,Stellar,XLM,2021-01-22,0.28023558,0.22939067,0.25239482,0.27050141,1392207581.6110246,5976891252.730759
2361,Stellar,XLM,2021-01-21,0.29469092,0.24620334,0.29439653,0.25260259,1083947046.3577387,5581406106.4395685
2360,Stellar,XLM,2021-01-20,0.30118739,0.27711127,0.29909005,0.29435071,1160924327.93758,6503855794.643928
2359,Stellar,XLM,2021-01-19,0.31740092,0.29674402,0.30375204,0.29940454,1530976794.3529863,6615523321.178096
2358,Stellar,XLM,2021-01-18,0.30744171,0.29503715,0.30336628,0.30361074,1011246741.6305368,6708461687.41196
2357,Stellar,XLM,2021-01-17,0.31839767,0.28803497,0.29190845,0.3035661,1884116937.0614865,6707475316.091278
2356,Stellar,XLM,2021-01-16,0.30960513,0.27884997,0.28478585,0.29201915,1576551020.9600544,6452338613.078576
2355,Stellar,XLM,2021-01-15,0.31072434,0.26345972,0.30269715,0.28494095,1546747797.1855216,6295941495.052457
2354,Stellar,XLM,2021-01-14,0.3193283,0.28818829,0.30419482,0.30261974,1746390817.536473,6686565092.529518
2353,Stellar,XLM,2021-01-13,0.30794975,0.27756614,0.28151849,0.30402207,1932760185.92379,6717550411.133624
2352,Stellar,XLM,2021-01-12,0.3109174,0.25687677,0.27209934,0.2817427,2951493959.968733,6220555219.63238
2351,Stellar,XLM,2021-01-11,0.28833094,0.21455897,0.28833094,0.27223839,2510439297.13386,6005967121.737804
2350,Stellar,XLM,2021-01-10,0.32639194,0.2673653,0.312166,0.28874908,1949483668.0404036,6362493022.634627
2349,Stellar,XLM,2021-01-09,0.33018011,0.28651516,0.30270952,0.31193549,2262748352.108424,6873398271.442132
2348,Stellar,XLM,2021-01-08,0.3304904,0.26922922,0.31562286,0.30283606,3650270361.506659,6670622996.835278
2347,Stellar,XLM,2021-01-07,0.40233897,0.29741416,0.3431582,0.31579685,6253336842.255177,6948367857.896669
2346,Stellar,XLM,2021-01-06,0.38348059,0.19423689,0.19467093,0.34079313,10408578426.598703,7491769257.622277
2345,Stellar,XLM,2021-01-05,0.20996573,0.15199768,0.16509406,0.19482343,2558465428.702858,4276293447.628627
2344,Stellar,XLM,2021-01-04,0.16595051,0.13088886,0.13664377,0.16518009,1650893149.7316773,3621839340.116007
2343,Stellar,XLM,2021-01-03,0.1389738,0.12453094,0.12784672,0.13642297,694141229.0031551,2989656210.8862576
2342,Stellar,XLM,2021-01-02,0.13461765,0.12756117,0.13247064,0.12782007,463295709.309307,2801127005.362355
2341,Stellar,XLM,2021-01-01,0.13980106,0.12736694,0.12832131,0.13240799,493194344.8339099,2901669479.1338143
2340,Stellar,XLM,2020-12-31,0.13216031,0.12440754,0.13198871,0.12836955,484196978.0062904,2813168655.087924
2339,Stellar,XLM,2020-12-30,0.13926599,0.12989075,0.13876,0.13191266,555793351.2596629,2889641250.3005567
2338,Stellar,XLM,2020-12-29,0.14876801,0.12905248,0.1443594,0.1388149,762785955.9818681,3040839826.951902
2337,Stellar,XLM,2020-12-28,0.15421202,0.14213449,0.14509933,0.14437471,578664860.4679961,3162631384.870452
2336,Stellar,XLM,2020-12-27,0.15493023,0.13536097,0.14704442,0.14497284,758476186.1683526,3170263194.618211
2335,Stellar,XLM,2020-12-26,0.15512848,0.14483073,0.15251907,0.14704709,532755621.22247225,3215622814.209766
2334,Stellar,XLM,2020-12-25,0.16657039,0.14883663,0.15919529,0.15258738,864019522.1700621,3336777846.032997
2333,Stellar,XLM,2020-12-24,0.16528839,0.12507306,0.1268204,0.15962023,1571608568.5219316,3490572261.992421
2332,Stellar,XLM,2020-12-23,0.16224126,0.11317345,0.16221253,0.12647102,1192456989.5475788,2765665940.7045565
2331,Stellar,XLM,2020-12-22,0.16972508,0.15408606,0.16617796,0.16218486,661299925.1542645,3545740493.137073
2330,Stellar,XLM,2020-12-21,0.17991436,0.161052,0.17697358,0.16635673,509445346.30703247,3636077351.4346905
2329,Stellar,XLM,2020-12-20,0.18198733,0.17573762,0.1818315,0.17697873,459139596.369428,3864704195.2701697
2328,Stellar,XLM,2020-12-19,0.18785553,0.18046711,0.18507153,0.18183732,483210984.1281161,3970801615.345748
2327,Stellar,XLM,2020-12-18,0.18898574,0.17764393,0.18597139,0.18512687,822786726.7884152,4042308069.5639215
2326,Stellar,XLM,2020-12-17,0.20646334,0.18085924,0.1912704,0.18593514,1664078484.492351,4059027361.741226
2325,Stellar,XLM,2020-12-16,0.1918152,0.15991172,0.16650215,0.19140137,1059791079.8991303,4174146997.85064
2324,Stellar,XLM,2020-12-15,0.17625971,0.16549099,0.16978776,0.16655667,469193893.96616906,3629660433.397757
2323,Stellar,XLM,2020-12-14,0.17807541,0.16698993,0.17520058,0.16976176,522592210.0015949,3697528701.267933
2322,Stellar,XLM,2020-12-13,0.17920563,0.15589959,0.15895856,0.17485158,689055367.2402748,3808388514.5222006
2321,Stellar,XLM,2020-12-12,0.16403858,0.15071447,0.15113133,0.15894956,509594961.4981671,3462031614.9993243
2320,Stellar,XLM,2020-12-11,0.16429691,0.15117957,0.16111223,0.15117957,608768064.4698757,3292780696.9820085
2319,Stellar,XLM,2020-12-10,0.17681019,0.16110208,0.17229484,0.16110208,770957773.4816661,3505757415.031372
2318,Stellar,XLM,2020-12-09,0.17384821,0.14044089,0.15277446,0.1722235,935284782.8950448,3746165986.412445
2317,Stellar,XLM,2020-12-08,0.16847149,0.15018234,0.16847149,0.15280335,432945451.5489073,3321508152.7316203
2316,Stellar,XLM,2020-12-07,0.1759551,0.16577272,0.17563192,0.16845983,317729160.2301524,3661734584.0375686
2315,Stellar,XLM,2020-12-06,0.1796195,0.16809263,0.17173013,0.17563025,410343063.2036941,3814433496.6555176
2314,Stellar,XLM,2020-12-05,0.17589699,0.16052473,0.16270279,0.17171817,428643561.3343532,3729468793.5494175
2313,Stellar,XLM,2020-12-04,0.18800803,0.16072024,0.18432797,0.16285452,575389418.9401463,3536073795.261111
2312,Stellar,XLM,2020-12-03,0.18940696,0.18033787,0.18524929,0.18430375,489435451.85424536,4000537942.96977
2311,Stellar,XLM,2020-12-02,0.1879818,0.17835256,0.18447332,0.18515054,588076706.4921942,4016921142.43046
2310,Stellar,XLM,2020-12-01,0.20353377,0.17794705,0.20215987,0.18442527,917146766.6530576,4000801881.0046334
2309,Stellar,XLM,2020-11-30,0.20453216,0.18964508,0.19419495,0.20209288,1061790831.186391,4383702574.296802
2308,Stellar,XLM,2020-11-29,0.20233809,0.18970784,0.20029839,0.19422412,987586583.252378,4207379426.2790494
2307,Stellar,XLM,2020-11-28,0.21905738,0.19640617,0.20666006,0.20020316,2016734577.6674848,4336900386.151355
2306,Stellar,XLM,2020-11-27,0.20640935,0.16388012,0.167805,0.20640935,2262645472.4424605,4471341970.8745575
2305,Stellar,XLM,2020-11-26,0.20413388,0.1479461,0.19496164,0.16754814,2426960774.8487306,3540152241.2905765
2304,Stellar,XLM,2020-11-25,0.22977977,0.18356162,0.1950576,0.19520212,3400050500.7023625,4124457772.5983386
2303,Stellar,XLM,2020-11-24,0.19650004,0.13065125,0.13065125,0.19547983,3759466315.191269,4126025114.762524
2302,Stellar,XLM,2020-11-23,0.13109979,0.10174306,0.10352638,0.13059927,881252331.2292757,2747435106.903012
2301,Stellar,XLM,2020-11-22,0.11391912,0.09750213,0.10840489,0.10352625,689900728.1293249,2176343295.364973
2300,Stellar,XLM,2020-11-21,0.10893011,0.08830738,0.08830738,0.10840489,646627498.1975975,2278902756.309647
2299,Stellar,XLM,2020-11-20,0.08831017,0.0837751,0.08390812,0.08830738,177052671.6273809,1854198705.824215
2298,Stellar,XLM,2020-11-19,0.08565666,0.08163132,0.08361596,0.08390624,159838550.48568138,1759755825.8116484
2297,Stellar,XLM,2020-11-18,0.08652573,0.08195969,0.08607187,0.08361524,200409055.5515121,1753443661.5323813
2296,Stellar,XLM,2020-11-17,0.08781136,0.08346089,0.0839621,0.0860754,234814749.8130417,1805034192.0303648
2295,Stellar,XLM,2020-11-16,0.0823032,0.07958779,0.08029432,0.08189586,144088170.9057123,1714848830.649613
2294,Stellar,XLM,2020-11-15,0.08218422,0.07922862,0.08115831,0.08029435,130851375.55926432,1681113432.301901
2293,Stellar,XLM,2020-11-14,0.08405789,0.08103178,0.08231771,0.08115832,171038960.79571727,1699202324.9575973
2292,Stellar,XLM,2020-11-13,0.08238601,0.08002021,0.08066345,0.08231771,141302910.76875952,1723476349.3967035
2291,Stellar,XLM,2020-11-12,0.08088158,0.07932582,0.08068888,0.08066601,135597875.69735956,1689499973.484652
2290,Stellar,XLM,2020-11-11,0.08205124,0.07969154,0.07982745,0.08069167,142374410.3871855,1689832906.189831
2289,Stellar,XLM,2020-11-10,0.08218786,0.0793183,0.07968699,0.07982808,151230471.21931726,1669791775.8872275
2288,Stellar,XLM,2020-11-09,0.08206224,0.07825456,0.0815397,0.07967746,151868374.57810357,1666641234.2363176
2287,Stellar,XLM,2020-11-08,0.08276638,0.07888314,0.07961391,0.08153846,137449751.21487728,1706139182.7772777
2286,Stellar,XLM,2020-11-07,0.08594516,0.07858436,0.08387438,0.07961391,207531867.16829085,1665869364.7130897
2285,Stellar,XLM,2020-11-06,0.08513642,0.08016507,0.08016799,0.08387438,197958332.77049223,1755016940.394859
2284,Stellar,XLM,2020-11-05,0.08211564,0.07370345,0.07459428,0.08017504,180475299.4770885,1675766553.1174831
2283,Stellar,XLM,2020-11-04,0.075638,0.07292247,0.07531977,0.07459282,118999480.15820237,1558038049.3738751
2282,Stellar,XLM,2020-11-03,0.07631615,0.07355042,0.07566026,0.07531125,126769720.5836585,1573043987.6586852
2281,Stellar,XLM,2020-11-02,0.0792782,0.07558114,0.07847514,0.07566041,129525551.60618822,1579488628.8556385
2280,Stellar,XLM,2020-11-01,0.07859055,0.07665549,0.07767283,0.07847773,115500840.5518479,1638302979.691819
2279,Stellar,XLM,2020-10-31,0.07948875,0.07660126,0.07676332,0.07767283,137580783.91340867,1621500029.5008678
2278,Stellar,XLM,2020-10-30,0.07847207,0.07495987,0.07745376,0.0767633,118612988.07910024,1602512639.5240145
