SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2473,Monero,XMR,2021-02-27,222.82672955,204.15895871,204.15895871,209.31081207,680010896.06,3736292191.29
2472,Monero,XMR,2021-02-26,217.34706878,194.11585376,197.732345,204.10449657,750516132.9,3643190560.83
2471,Monero,XMR,2021-02-25,218.28297685,197.54811553,205.7433574,197.54811553,628245394.24,3525999682.2
2470,Monero,XMR,2021-02-24,224.97603229,198.76804133,219.575963,205.74912869,861035403.96,3672199348.03
2469,Monero,XMR,2021-02-23,225.01546243,171.28899022,224.99271388,219.53105732,1161680697.98,3917992795.72
2468,Monero,XMR,2021-02-22,247.75553417,194.10864172,247.64318226,225.02664069,999802848.64,4015891713.65
2467,Monero,XMR,2021-02-21,260.23748595,244.23966578,255.95140075,247.6500289,858148415.6,4419424764.7
2466,Monero,XMR,2021-02-20,288.23724383,246.75578664,283.52662826,256.04283581,991879039.58,4568994495.97
2465,Monero,XMR,2021-02-19,283.67567437,254.19678884,262.17826825,283.48134604,992126854.4,5058390843.79
2464,Monero,XMR,2021-02-18,275.4867895,252.5964724,271.0458592,262.19024293,897054224.35,4678257730.26
2463,Monero,XMR,2021-02-17,273.0338101,221.25572654,221.25572654,270.99571574,2434163823.46,4835143530.78
2462,Monero,XMR,2021-02-16,232.46086304,211.42980729,227.41918406,221.28108114,1907158941.24,3947946754.67
2461,Monero,XMR,2021-02-15,233.77978004,203.36549745,230.63310417,227.5124913,2055578928.33,4058933527.33
2460,Monero,XMR,2021-02-14,242.52423743,223.93323823,240.40708933,230.69962703,1882616238.18,4115608586.5
2459,Monero,XMR,2021-02-13,254.20135365,200.07298362,201.37854699,240.55879726,2507166376.48,4291285137.58
2458,Monero,XMR,2021-02-12,214.99578714,190.33972184,190.33972184,201.41067994,1922969024.34,3592761815.38
2457,Monero,XMR,2021-02-11,191.16349091,171.15089006,175.69982397,190.37659255,1371489332.38,3395775498.05
2456,Monero,XMR,2021-02-10,182.14230736,166.10625561,169.63431638,175.7175849,1353006268.73,3134157698.68
2455,Monero,XMR,2021-02-09,172.1787286,159.37888151,162.7689691,169.63153571,1266909006.94,3025455868.18
2454,Monero,XMR,2021-02-08,163.3341367,147.62424216,150.71926428,162.74543623,933249680.16,2902500335.67
2453,Monero,XMR,2021-02-07,156.22454004,147.77118345,152.58365587,150.74122531,804302297.96,2688287239.27
2452,Monero,XMR,2021-02-06,158.18926435,152.3587497,155.2655225,152.59426078,852533093.45,2721208026.12
2451,Monero,XMR,2021-02-05,155.30688898,147.78699902,148.57813643,155.27637245,1021414057.81,2768905600.03
2450,Monero,XMR,2021-02-04,155.51103432,147.99078387,154.96849832,148.58617856,990560199.75,2649473358.76
2449,Monero,XMR,2021-02-03,155.3121375,151.26671759,151.54319968,154.96640737,1008948639.29,2763118672.68
2448,Monero,XMR,2021-02-02,152.07838924,142.41014881,143.7111126,151.54727928,1143502711.81,2702019351.28
2447,Monero,XMR,2021-02-01,146.20760979,135.78436327,138.05254425,143.73500426,988331547.5,2562614382.8
2446,Monero,XMR,2021-01-31,140.59227139,132.60776129,139.47405758,138.0607014,975323837.58,2461328838.56
2445,Monero,XMR,2021-01-30,142.10178605,136.46072516,140.45329448,139.47419077,1034542154.81,2486410225.19
2444,Monero,XMR,2021-01-29,150.0087538,132.669213,138.13549951,140.46539419,875293616.71,2503956154.96
2443,Monero,XMR,2021-01-28,139.7653371,124.12386281,126.01310415,136.00677643,1094419239.33,2424360849.83
2442,Monero,XMR,2021-01-27,138.10597289,125.4310997,138.10597289,126.01576153,936623910.3535928,2246159998.195411
2441,Monero,XMR,2021-01-26,140.56964201,133.80083973,137.1946281,138.11320305,984356371.4159508,2461672132.1440463
2440,Monero,XMR,2021-01-25,144.83030195,136.98596335,137.46880906,137.1972018,981919976.647448,2445225277.0854816
2439,Monero,XMR,2021-01-24,142.24449398,134.20401129,138.20488547,137.47046712,1287049710.7780106,2449982300.700146
2438,Monero,XMR,2021-01-23,141.08196865,133.89929564,135.6668333,138.20631079,1212584944.6594744,2462996376.757184
2437,Monero,XMR,2021-01-22,140.04254029,122.94889147,130.19265371,135.70203446,1457964054.177263,2418229043.306864
2436,Monero,XMR,2021-01-21,153.02814166,128.98254377,153.02814166,130.18937528,1459459068.252637,2319889779.148273
2435,Monero,XMR,2021-01-20,160.79474636,146.36241696,157.50350841,153.02622039,1186398867.9573312,2726689479.733447
2434,Monero,XMR,2021-01-19,165.2585605,152.8199195,156.98899313,157.54364173,1413206281.6649146,2807043667.5147567
2433,Monero,XMR,2021-01-18,160.88745273,150.86688291,159.58059918,156.95686257,1245369744.9326613,2796449209.2789297
