SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2764,XRP,XRP,2021-02-27,0.45759649,0.42790433,0.42790433,0.43780898,4756622832.91,19878291691.35
2763,XRP,XRP,2021-02-26,0.45043993,0.41555853,0.43494082,0.42790019,6476253874.48,19428392307.28
2762,XRP,XRP,2021-02-25,0.48251693,0.42910328,0.47177568,0.43452354,5952353923.51,19729119199.09
2761,XRP,XRP,2021-02-24,0.49936965,0.45475888,0.47420092,0.47183151,8015468859.3,21423051552.55
2760,XRP,XRP,2021-02-23,0.57098918,0.37930209,0.57098918,0.47356259,14359021785.9,21501649334.26
2759,XRP,XRP,2021-02-22,0.63985051,0.52006904,0.54832441,0.57174115,18769236631.59,25959351669.07
2758,XRP,XRP,2021-02-21,0.55836731,0.50846391,0.51687934,0.54856014,6569716152.88,24906840533.95
2757,XRP,XRP,2021-02-20,0.58242381,0.48244043,0.56688315,0.51751221,7892199926.39,23497139197.04
2756,XRP,XRP,2021-02-19,0.57908432,0.52065491,0.53256997,0.56701857,6896487164.35,25744927541.23
2755,XRP,XRP,2021-02-18,0.55864091,0.52387216,0.53509777,0.5324331,5621706994.69,24174607717.38
2754,XRP,XRP,2021-02-17,0.55436056,0.49711614,0.52079846,0.53553723,9332962077.49,24315547799.14
2753,XRP,XRP,2021-02-16,0.57731516,0.49003827,0.54859501,0.52084597,10310430731.87,23648505355.39
2752,XRP,XRP,2021-02-15,0.600052,0.52156424,0.59345348,0.54891537,10563510365.06,24922969086.0
2751,XRP,XRP,2021-02-14,0.63238589,0.56715511,0.62844966,0.5941931,10460949240.48,26978760718.17
2750,XRP,XRP,2021-02-13,0.6370347,0.54991784,0.60810519,0.62899615,14161115004.6,28558959197.54
2749,XRP,XRP,2021-02-12,0.61262968,0.51826489,0.52462749,0.60859231,13950086407.32,27632542729.79
2748,XRP,XRP,2021-02-11,0.52761726,0.50113619,0.50305255,0.52478651,8979459920.35,23827421834.5
2747,XRP,XRP,2021-02-10,0.53410474,0.46599033,0.47191863,0.5034453,13793347171.84,22858444785.12
2746,XRP,XRP,2021-02-09,0.48519079,0.44757041,0.44765934,0.47199055,9634769935.39,21430272598.86
2745,XRP,XRP,2021-02-08,0.45991625,0.412719,0.4177655,0.447702,8180714581.31,20327474410.0
2744,XRP,XRP,2021-02-07,0.44551885,0.39876723,0.43912813,0.41795756,7495069764.55,18976956806.59
2743,XRP,XRP,2021-02-06,0.4522818,0.42671043,0.45015712,0.43909568,7625571665.58,19936712821.83
2742,XRP,XRP,2021-02-05,0.46470514,0.42510223,0.44532514,0.45004704,10229060639.55,20433948823.72
2741,XRP,XRP,2021-02-04,0.47230557,0.37918058,0.3934106,0.4464491,13193400182.32,20270587944.5
2740,XRP,XRP,2021-02-03,0.40806164,0.36936404,0.36936404,0.39348981,8672301822.06,17866022515.48
2739,XRP,XRP,2021-02-02,0.40426357,0.34426852,0.37052046,0.36927,12756138062.39,16766345435.96
2738,XRP,XRP,2021-02-01,0.74482054,0.3606929,0.49251245,0.37150866,34974233953.32,16867989811.86
2737,XRP,XRP,2021-01-31,0.49970232,0.38949785,0.43783155,0.49231408,24394851755.58,22353042408.27
2736,XRP,XRP,2021-01-30,0.48934619,0.27982525,0.28215207,0.44024444,24417465996.87,19988871042.99
2735,XRP,XRP,2021-01-29,0.31019353,0.26048783,0.27053047,0.28218765,8031899348.05,12812456127.64
2734,XRP,XRP,2021-01-28,0.26900863,0.24878647,0.25191458,0.26412208,2793379610.88,11992206363.03
2733,XRP,XRP,2021-01-27,0.26897216,0.24553212,0.26885593,0.25194347,2940937078.9836884,11439248737.61861
2732,XRP,XRP,2021-01-26,0.27110351,0.25970775,0.26904922,0.26882663,2790821503.1065226,12205812184.4594
2731,XRP,XRP,2021-01-25,0.28241733,0.26880025,0.27347297,0.26908877,2925493997.194942,12217714233.2147
2730,XRP,XRP,2021-01-24,0.27742465,0.27021568,0.27183984,0.2735085,2472431874.9894376,12418387933.00315
